Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Lning rate: 0,042573 | Error derivative: 0,00975374 | Err: 0,05394402
Lning rate: 0,042573 | Error derivative: 0,00968400 | Err: 0,05386357
Lning rate: 0,042147 | Error derivative: 0,00961583 | Err: 0,05378497
Lning rate: 0,042147 | Error derivative: 0,00954864 | Err: 0,05370754
Lning rate: 0,042147 | Error derivative: 0,00948234 | Err: 0,05363119
Lning rate: 0,042147 | Error derivative: 0,00941693 | Err: 0,05355590
Lning rate: 0,042147 | Error derivative: 0,00935238 | Err: 0,05348163
Lning rate: 0,041726 | Error derivative: 0,00928924 | Err: 0,05340904
Lning rate: 0,041726 | Error derivative: 0,00922699 | Err: 0,05333748
Lning rate: 0,041726 | Error derivative: 0,00916554 | Err: 0,05326689
Lning rate: 0,041726 | Error derivative: 0,00910487 | Err: 0,05319722
Lning rate: 0,041726 | Error derivative: 0,00904498 | Err: 0,05312847
Lning rate: 0,041308 | Error derivative: 0,00898637 | Err: 0,05306123
Lning rate: 0,041308 | Error derivative: 0,00892856 | Err: 0,05299492
Lning rate: 0,041308 | Error derivative: 0,00887146 | Err: 0,05292946
Lning rate: 0,041308 | Error derivative: 0,00881507 | Err: 0,05286483
Lning rate: 0,041308 | Error derivative: 0,00875937 | Err: 0,05280102
Lning rate: 0,040895 | Error derivative: 0,00870485 | Err: 0,05273857
Lning rate: 0,040895 | Error derivative: 0,00865104 | Err: 0,05267696
Lning rate: 0,040895 | Error derivative: 0,00859787 | Err: 0,05261610
Lning rate: 0,040895 | Error derivative: 0,00854534 | Err: 0,05255599
Lning rate: 0,040895 | Error derivative: 0,00849343 | Err: 0,05249661
Lning rate: 0,040486 | Error derivative: 0,00844260 | Err: 0,05243847
Lning rate: 0,040486 | Error derivative: 0,00839241 | Err: 0,05238108
Lning rate: 0,040486 | Error derivative: 0,00834280 | Err: 0,05232437
Lning rate: 0,040486 | Error derivative: 0,00829377 | Err: 0,05226833
Lning rate: 0,040486 | Error derivative: 0,00824530 | Err: 0,05221294
Lning rate: 0,040082 | Error derivative: 0,00819781 | Err: 0,05215868
Lning rate: 0,040082 | Error derivative: 0,00815091 | Err: 0,05210510
